,0
Intercept,-0.286152965059171
Angle,-0.8018059793904666
Distance,0.31175546461618064
X,-0.15816408816458669
C,-0.002443541559558661
X2,-0.0013774910615196073
C2,-0.003384650940474773
AX,0.12075110246468955
