,0
Intercept,-0.28615296505932164
Angle,-0.8018059793903541
Distance,0.3117554646161971
X,-0.15816408816459612
C,-0.0024435415595640713
X2,-0.0013774910615197927
C2,-0.0033846509404748273
AX,0.12075110246468912
